	Yritys	Kotipaikka	Toimiala	
31.08.2025	Alajärvi Antti Pekka Olavi	Rovaniemi	01492 - Poronhoito	
31.08.2025	AVKielipalvelut	Kirkkonummi	85600 - Koulutusta palveleva toiminta	
31.08.2025	Asunto Oy Isokatu 12, Kokkola	Kokkola	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
31.08.2025	Asunto Oy Rantakatu 13, Kokkola	Kokkola	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
31.08.2025	DRIPNORD Oy	Helsinki		
31.08.2025	Leaders 14 Oy	Espoo	56102 - Kahvila-ravintolat	
31.08.2025	R&S Sanctum Custodia Oy	Kotka	64200 - Rahoitusalan holdingyhtiöiden toiminta	
31.08.2025	NIEL Ab	Raasepori	85520 - Taiteen ja musiikin koulutus	
31.08.2025	Hämeen rakennusratkaisu	Lahti	41200 - Asuin- ja muiden rakennusten rakentaminen	
30.08.2025	UzbekFinn ry	Helsinki		
30.08.2025	Pro Skating Tampere ry	Tampere		
30.08.2025	Pesutupa ry	Tampere		
30.08.2025	Strike Force Cricket Club Ry	Vantaa		
30.08.2025	A:lla alkava kirja- ja kirjoituskerho ry	Tampere		
30.08.2025	Gagandeep Kaur Gagandeep Kaur	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Israr Haider	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Yusupov Hamzabek	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Heikka Esko Olavi	Oulu	49410 - Tieliikenteen tavarankuljetus	
30.08.2025	Rantakangas Johanna Maria	Vantaa	02100 - Metsänhoito	
30.08.2025	Patel Meet Vijaykumar	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Ahmad Khan Hurair	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Jawara Adama	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Al-Kubaisi Mohammed Jameel Raja	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Heikkinen Geiri Anni Adele	Kajaani	73112 - Suora- ja ulkomainonta	
30.08.2025	Chaudhary Pradipta	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Waheed Hafsa	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Mehra Mamta	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	Impiö Kimmo Kullervo	Hattula	02100 - Metsänhoito	
30.08.2025	Anonen Jaana Orvokki	Lappeenranta	02100 - Metsänhoito	
30.08.2025	Kiinteisö Oy Korjaamonkatu 7	Pori		
30.08.2025	SunLetter Oy	Raasepori	62010 - Ohjelmistojen suunnittelu ja valmistus	
30.08.2025	Kajo Interiors	Helsinki		
30.08.2025	Kiinteistö Team C.H	Lahti	43341 - Maalaus	
30.08.2025	Misiro	Ähtäri		

Päivämäärä	Yritys	Kotipaikka	Toimiala	
30.08.2025	Puolipuu	Lieto		
30.08.2025	Mute Strings	Helsinki		
30.08.2025	Fantasti	Hattula		
30.08.2025	RPT Rakennuspalvelut Turunen	Nurmijärvi	41200 - Asuin- ja muiden rakennusten rakentaminen	
30.08.2025	Still Light Photography	Siilinjärvi	74201 - Valokuvaamot ja muu kuvaustoiminta	
30.08.2025	ArktixOps	Joensuu	62020 - Atk-laitteisto- ja ohjelmistokonsultointi	
30.08.2025	Domani Helsinki	Helsinki		
30.08.2025	Jh-kunnossapito	Nurmijärvi		
30.08.2025	Xhoobba	Mikkeli		
30.08.2025	Irha Fatima	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
30.08.2025	TUOTANTO 72	Salo	32999 - Muu muualla luokittelemattomien tuotteiden valmistus	
30.08.2025	Psykologipalvelu Tyyni Tovi Oy	Pori	86909 - Muu terveyspalvelu	
30.08.2025	Cruxer Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
30.08.2025	MT-kuljetus Oy	Tampere	49410 - Tieliikenteen tavarankuljetus	
30.08.2025	Colorlings Oy	Kaarina	18120 - Muu painaminen	
30.08.2025	ZebelWise Oy	Helsinki	47913 - Laajan valikoiman postimyynti ja verkkokauppa	
30.08.2025	Njuro Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
30.08.2025	E.Myllymäki	Kaustinen	33122 - Maa- ja metsätalouskoneiden korjaus ja huolto	
30.08.2025	Cooden Studios Oy	Turku	58290 - Muu ohjelmistojen kustantaminen	
30.08.2025	Turvasana Oy	Mynämäki	90030 - Taiteellinen luominen	
30.08.2025	Ankkuripaikka	Sastamala		
30.08.2025	Scanduix	Tampere		
30.08.2025	Jovan Solutions	Hyvinkää	70220 - Muu liikkeenjohdon konsultointi	
30.08.2025	Kaikki Voi Hyvinvointipalvelut Oy	Teuva	86909 - Muu terveyspalvelu	
30.08.2025	Sarka Vitova	Hyvinkää	85600 - Koulutusta palveleva toiminta	
30.08.2025	Talent Scout Consulting	Helsinki	78300 - Muut henkilöstön hankintapalvelut	
30.08.2025	JMM Group Oy	Kauhava	41200 - Asuin- ja muiden rakennusten rakentaminen	
30.08.2025	Trivora Consulting Oy	Oulu	70220 - Muu liikkeenjohdon konsultointi	
30.08.2025	Bright Winlaan Oy Ltd	Helsinki	46390 - Elintarvikkeiden, juomien ja tupakan yleistukkukauppa	
30.08.2025	Ravintola Sisuruoka Oy	Lohja	56101 - Ravintolat	
30.08.2025	Fairshot Oy	Nokia	74201 - Valokuvaamot ja muu kuvaustoiminta	
30.08.2025	Beauty By K.S. Oy	Espoo	96022 - Kauneudenhoitopalvelut	
30.08.2025	Psykologi- ja psykoterapiapalvelu Vivi Sariola	Tuusula	86909 - Muu terveyspalvelu	
30.08.2025	Korkatin Ampumaratayhdistys ry	Haapavesi		
30.08.2025	Hani Cafechi Oy	Helsinki	56102 - Kahvila-ravintolat	
30.08.2025	Janitan Kahvilat Oy	Kärkölä	56102 - Kahvila-ravintolat	
30.08.2025	33100 Taksi Oy	Tampere	49320 - Taksiliikenne	
30.08.2025	MyLaplandTravel OY	Rovaniemi	79900 - Varauspalvelut, matkaoppaiden palvelut ym.	
30.08.2025	Paula Leppänen Coach	Loppi	85510 - Urheilu- ja liikuntakoulutus	
30.08.2025	Zoom Kuljetus	Helsinki	49320 - Taksiliikenne	
30.08.2025	Kuvaava	Mikkeli	90030 - Taiteellinen luominen	
29.08.2025	Nextgen Trading Oy	Tampere		
29.08.2025	Lauluyhtye Pilke ry	Uusikaupunki		
29.08.2025	Gospel Brothers ry	Vihti		
29.08.2025	Eco Siivous TMI	Helsinki		
29.08.2025	Rasheed Adil	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Delpa Chithra Acharige Danoj Nadeeshan De Silva	Tampere	52299 - Muu kuljetusvälitys	
29.08.2025	Kamppinen Elina Maria Tuulia	Kotka	73112 - Suora- ja ulkomainonta	
29.08.2025	Kukkonen Auli Ellen	Porvoo	02100 - Metsänhoito	
29.08.2025	Malwaththa Liyanage Dinesh Kumara Sampath	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Yogarasa Anaslin	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Kulathunga Kalindunie Supunsara Weerasinghe	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Morshed Abrar	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Moon Mehrab Khan	Vaasa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Schneider Leo Henry	Orimattila	33140 - Sähkölaitteiden korjaus ja huolto	
29.08.2025	Punchihewa Uthpala Imanthini	Lahti	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Myllykangas Toni Mikael	Oulu	37000 - Viemäri- ja jätevesihuolto	
29.08.2025	Aminoff Ira Josefina	Helsinki	02100 - Metsänhoito	
29.08.2025	Al-Esawi Sara Kamil Salman	Helsinki	73119 - Muu mainospalvelu	
29.08.2025	Tyni Kimmo Veli Olavi	Oulu	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Firoozi Daniel Ebrahim	Lieto	52240 - Lastinkäsittely	
29.08.2025	Tailor Zankhana Hirenkumar	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Raj Bhawish	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Haseeb Abdul	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Pelkonen Juha Tapio	Oulu	02100 - Metsänhoito	
29.08.2025	Jordas Oscar Kim Zacharias	Lapinjärvi	49410 - Tieliikenteen tavarankuljetus	
29.08.2025	Bhatta Lalit	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Mäkelä Marie-Sofie Emelie Ingeborg	Juupajoki	02100 - Metsänhoito	
29.08.2025	PONTUS KARLSSON ENTREPRENAD AB		43999 - Muu muualla luokittelematon erikoistunut rakennustoiminta	
29.08.2025	KARLSON 2022 EOOD		43390 - Muu rakennusten viimeistely	
29.08.2025	Szpakov Ltd		42999 - Muu muualla luokittelematon maa- ja vesirakentaminen	
29.08.2025	International Artist Organisation rf	Helsinki		
29.08.2025	Ässätuotanto Oy	Lahti		
29.08.2025	KONE Business Services, s.r.o.		82990 - Muut palvelut liike-elämälle	
29.08.2025	Vallis Gratiae Ensemble ry	Naantali		
29.08.2025	Helin Riikka Liisa Karoliina	Helsinki	02100 - Metsänhoito	
29.08.2025	Bandara Thalkotuwa Kasthuri Mudiyanselage Sameera Dhananjaya	Jyväskylä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Shova Mst Tajmim Akter	Vaasa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Tukiainen Santtu Ilari	Espoo	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Parkkinen Riitta Marjaana	Mikkeli	01612 - Maatalousmaan pitäminen viljelykelpoisena	
29.08.2025	Das Dip Kumar	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Kallio Laura Inkeri	Lappeenranta	86909 - Muu terveyspalvelu	
29.08.2025	Wijayawardana Champaka Samiilaa	Mikkeli	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Lovely Morium Akter	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Sharia Sha All	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	VIET RAVINTOLA OY	Helsinki		
29.08.2025	Kärkkäinen Milla Merita	Kiuruvesi	02100 - Metsänhoito	
29.08.2025	Koski Aki Markus	Espoo	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Rauhala Pentti Juhani	Kärkölä	02100 - Metsänhoito	
29.08.2025	Huida Jarmo Olavi	Pori	02100 - Metsänhoito	
29.08.2025	Ektesabi Bonab Amin	Lahti	46901 - Yleistukkukauppa	
29.08.2025	Huopalainen Maire Annikki	Rantasalmi	02100 - Metsänhoito	
29.08.2025	Härkönen Seija Sinikka	Sotkamo	02100 - Metsänhoito	
29.08.2025	Kaastinen Kari Juhani	Äänekoski	02100 - Metsänhoito	
29.08.2025	MONTELEKTRO, d. o. o.		33200 - Teollisuuden koneiden ja laitteiden ym. asennus	
29.08.2025	Kiinteistöosakeyhtiö Suo, kuokka ja Jussi	Kankaanpää	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
29.08.2025	Pölli Kulussa Oy	Lapinlahti	52291 - Huolinta ja rahtaus	
29.08.2025	Formulate IT	Tampere		
29.08.2025	SOC Group Oy	Kouvola	70100 - Pääkonttorien toiminta	
29.08.2025	Nilsiän Tähtiportti Oy	Kuopio	55109 - Motellit, matkustajakodit ja vastaavat majoitusliikkeet	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
29.08.2025	Brewtiful Bites Oy	Helsinki	56102 - Kahvila-ravintolat	
29.08.2025	Fysioterapia Oskar Wikholm	Helsinki	86901 - Fysioterapia	
29.08.2025	Pietilä Jukka Mikael	Kokkola	02100 - Metsänhoito	
29.08.2025	Ruokostenpohja Ismo Eero Voitto	Tampere	02100 - Metsänhoito	
29.08.2025	Hiuspalvelu Pixie	Heinola	96021 - Parturit ja kampaamot	
29.08.2025	E Untola Tmi	Asikkala	01499 - Muu eläinten hoito	
29.08.2025	Ihanmin	Espoo		
29.08.2025	Tmi Sanna Rantalainen	Lappeenranta	86909 - Muu terveyspalvelu	
29.08.2025	Anastasias Skönhet	Maarianhamina	96022 - Kauneudenhoitopalvelut	
29.08.2025	Lehtonen Laura Annika	Turku	85520 - Taiteen ja musiikin koulutus	
29.08.2025	Kemppainen Ritva Anneli	Suomussalmi	02100 - Metsänhoito	
29.08.2025	Tmi Tommi Saarinen	Pedersören kunta	78200 - Työvoiman vuokraus	
29.08.2025	Pohjanlahden Taksi	Oulu	49320 - Taksiliikenne	
29.08.2025	Dust in the wind	Kouvola		
29.08.2025	LankaMart	Pori	47299 - Muu päivittäistavaroiden erikoisvähittäiskauppa	
29.08.2025	Of Finland & co Oy	Espoo	90010 - Esittävät taiteet	
29.08.2025	MMTAITOINVEST OY	Vantaa	64200 - Rahoitusalan holdingyhtiöiden toiminta	
29.08.2025	Lapin silmin	Rovaniemi		
29.08.2025	Elämän matkassa	Jyväskylä		
29.08.2025	SKECO Ride Finland	Vantaa		
29.08.2025	Jokapaikan Ilona Tmi	Toivakka	81100 - Kiinteistönhoito	
29.08.2025	Hämiksen urheiluhieronta	Tampere		
29.08.2025	High flying Oy	Helsinki	70210 - Suhdetoiminta ja viestintä	
29.08.2025	Yritysapuri Oy	Salo	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Juseli Oy	Tuusula	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Bark & Root Oy	Lahti	10920 - Lemmikkieläinten ruokien valmistus	
29.08.2025	Puhdina Oy	Jyväskylä	81210 - Kiinteistöjen siivous	
29.08.2025	LVIAJ Projektivalvonta Oy	Helsinki	71126 - Muu rakennustekninen palvelu	
29.08.2025	Asiointipalvelu P.Hänninen Oy	Valkeakoski	69109 - Muu lakiasiain palvelu	
29.08.2025	NCM Partners Oy	Helsinki	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Nokee Design	Outokumpu	16290 - Muiden puutuotteiden valmistus; korkki-, olki- ja punontatuotteiden valmistus	
29.08.2025	Geowanne	Nousiainen	49410 - Tieliikenteen tavarankuljetus	
29.08.2025	Suomen Bitumikatto Oy konkurssipesä	Kurikka	43910 - Kattorakenteiden asennus ja kattaminen	
29.08.2025	Lapunmäen yhtenäiskoulun vanhempainyhdistys ry	Konnevesi		
29.08.2025	The Guides AI Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	TasePro Oy	Vantaa	69201 - Kirjanpito- ja tilinpäätöspalvelu	
29.08.2025	Threadspool Oy	Espoo	62020 - Atk-laitteisto- ja ohjelmistokonsultointi	
29.08.2025	Talonrak Oy	Helsinki	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Vojon Oy	Vantaa	56101 - Ravintolat	
29.08.2025	NPU Labs Oy	Helsinki	62020 - Atk-laitteisto- ja ohjelmistokonsultointi	
29.08.2025	Heli Lahtela Oy	Kouvola	86220 - Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut	
29.08.2025	Sköld & Co Oy	Helsinki	82990 - Muut palvelut liike-elämälle	
29.08.2025	Hanna Collin Oy	Loimaa	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Voimavaraistamo Oy	Kaarina	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Atlas Clean Oy	Evijärvi	81210 - Kiinteistöjen siivous	
29.08.2025	Viherpalvelu Kukantie Oy	Tampere	81300 - Maisemanhoitopalvelut	
29.08.2025	Aurorahoiva Oy	Vantaa	46901 - Yleistukkukauppa	
29.08.2025	Tkekalainen Oy	Seinäjoki	86220 - Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut	
29.08.2025	Arctic Cruises Oy	Lappeenranta	50300 - Sisävesiliikenteen henkilökuljetus	
29.08.2025	Via Clara Oy	Espoo	86909 - Muu terveyspalvelu	
29.08.2025	Vektor Style Oy	Vihti	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Rengas- ja Autopalvelu Sailamaa Oy	Tornio	45322 - Renkaiden vähittäiskauppa	
29.08.2025	sama saneeraus oy	Raasepori	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	HRimYT	Varkaus	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	Autokorjaamo Igor	Turku	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
29.08.2025	Linjaliikenne P-O Grönberg Oy konkurssipesä	Helsinki	49392 - Linja-autojen tilausliikenne	
29.08.2025	Bonnier Business Media Sweden AB		58142 - Aikakauslehtien kustantaminen	
29.08.2025	Dukani Pro	Vantaa	78200 - Työvoiman vuokraus	
29.08.2025	V.KRUGLIAK & VVS	Uusikaarlepyy	43220 - Lämpö-, vesijohto- ja ilmastointiasennus	
29.08.2025	Nippon Express Finland Oy	Vantaa	52291 - Huolinta ja rahtaus	
29.08.2025	Happy Host Oy	Rovaniemi	81210 - Kiinteistöjen siivous	
29.08.2025	Proexe Oy	Kouvola	71129 - Muu tekninen palvelu	
29.08.2025	KMK Ravintolat Oy	Helsinki	56101 - Ravintolat	
29.08.2025	TERBE-urakointi	Kirkkonummi	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Kulturell Fredsstrategi Bondarev Nordic Lab	Vantaa	59130 - Elokuvien, videoiden ja televisio-ohjelmien levitys	
29.08.2025	Taidepalvelu Hetkessä	Kajaani	90030 - Taiteellinen luominen	
29.08.2025	DS Systems	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	Vladi MTV	Helsinki	41100 - Rakennuttaminen ja rakennushankkeiden kehittäminen	
29.08.2025	Infinate Solutions Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	ReadyGolf Ab	Vaasa	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	TJ Drops Palvelu	Vantaa		
29.08.2025	GOALWAY	Helsinki	46150 - Huonekalujen, taloustavaroiden ja rautakauppatavaroiden agentuuritoiminta	
29.08.2025	Lingon PR & Communications	Rovaniemi	70210 - Suhdetoiminta ja viestintä	
29.08.2025	Gafforov Rakennus ja Remontti Tmi	Vantaa	43310 - Rappaus	
29.08.2025	Tmi Hongiston Konetyö Ja Korjaus	Kurikka	01620 - Kotieläintaloutta palveleva toiminta	
29.08.2025	Eräkaiku	Seinäjoki	47919 - Muu postimyynti ja verkkokauppa	
29.08.2025	BIConstruct	Vantaa	81210 - Kiinteistöjen siivous	
29.08.2025	Rayamajhi Bikalpa	Joensuu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	FF Coaching Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	TimanttiTalot Oy	Espoo	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Livella Verde Oy	Tuusula	78300 - Muut henkilöstön hankintapalvelut	
29.08.2025	One and Done Oy	Hanko	85599 - Muut koulutusta antavat yksiköt	
29.08.2025	ETOR Invest Oy	Iisalmi	66190 - Muu rahoitusta palveleva toiminta (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	Plantigrade Oy	Helsinki	86220 - Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut	
29.08.2025	Pelotonpelle Oy	Hämeenlinna	66300 - Omaisuudenhoitotoiminta	
29.08.2025	Greenconexa Oy	Kauhava	35111 - Sähkön tuotanto vesi- ja tuulivoimalla	
29.08.2025	TMi. SOFIA PATALAINEN	Espoo	81210 - Kiinteistöjen siivous	
29.08.2025	Mea Mannermaa	Turku	96022 - Kauneudenhoitopalvelut	
29.08.2025	Ethos Light Industrial Opportunities I Holding II GP Oy	Kuopio	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	TARKKA JA MARKKA OY	Turku	71126 - Muu rakennustekninen palvelu	
29.08.2025	Ethos Light Industrial Opportunities I Holding II Ky	Kuopio	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	Oskari Design Oy	Helsinki	25990 - Muiden metallituotteiden valmistus	
29.08.2025	Kouvolan Remonttipiste Oy	Kouvola	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Pinora Consulting Oy	Helsinki	46189 - Muualla luokittelematon erikoistunut agentuuritoiminta	
29.08.2025	Suomen talotimpurit oy	Järvenpää		
29.08.2025	Shakran Md Mostofa	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
29.08.2025	Juhon tekeleet	Imatra	16239 - Muu rakennuspuusepäntuotteiden valmistus	
29.08.2025	Putkonen Invest & Capital Oy	Laukaa	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	T:mi Robin Lindeberg	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	Puutyöliike Ojanen Oy konkurssipesä	Tampere	16239 - Muu rakennuspuusepäntuotteiden valmistus	


Päivämäärä	Yritys	Kotipaikka	Toimiala	
29.08.2025	Furniture Fellow Ky	Oulu	47591 - Huonekalujen vähittäiskauppa	
29.08.2025	Ladies who spa Oy	Helsinki	56102 - Kahvila-ravintolat	
29.08.2025	XMAX Oy	Helsinki	68201 - Asuntojen vuokraus	
29.08.2025	Jääskeläinen Matti Tapani	Savonlinna	02100 - Metsänhoito	
29.08.2025	Käännös & Tulkkipalvelut Al-Mashkur Oy	Espoo	74300 - Kääntäminen ja tulkkaus	
29.08.2025	Wanstall Oy	Jyväskylä	47540 - Sähköisten kodinkoneiden vähittäiskauppa	
29.08.2025	NPR Rakennus OY	Rovaniemi	41200 - Asuin- ja muiden rakennusten rakentaminen	
29.08.2025	Novatra Palvelut Oy	Helsinki	49410 - Tieliikenteen tavarankuljetus	
29.08.2025	TMI Jere Hyötylä	Kittilä	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
29.08.2025	Huonemaailma Oy	Tampere	68100 - Omien kiinteistöjen kauppa	
29.08.2025	Antti Niskanen	Mustasaari	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
29.08.2025	Lurppa	Varkaus	90030 - Taiteellinen luominen	
29.08.2025	Kiinteistö Oy Lummetien Tähti	Somero	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
29.08.2025	Sinolink Nordics Oy	Helsinki	46521 - Viestintälaitteiden tukkukauppa	
29.08.2025	Kiinteistö Oy Rovaniemen Rakkakiventie 2	Rovaniemi	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
29.08.2025	Valoisa Lighting Oy	Helsinki	27400 - Sähkölamppujen ja valaisimien valmistus	
29.08.2025	Heidis Hemhjälp	Sipoo	88101 - Kotipalvelut ikääntyneille ja vammaisille	
29.08.2025	Double Peak Oy	Tampere	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	Alfa Talents Oy	Helsinki	78100 - Työnvälitystoiminta	
29.08.2025	Språkfröet	Raasepori		
29.08.2025	Coherte Oy	Tampere	70220 - Muu liikkeenjohdon konsultointi	
29.08.2025	LY Suomi Real Estate Oy	Lahti	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
29.08.2025	Chicly Clothing	Helsinki	47912 - Vaatteiden postimyynti ja verkkokauppa	
29.08.2025	AMJ Staffing Oy	Lahti	78300 - Muut henkilöstön hankintapalvelut	
29.08.2025	Pantera Fuente Oy	Nokia	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
29.08.2025	Finnish Infinity Oy	Pori		
29.08.2025	Smith Holdings Oy	Jyväskylä	64200 - Rahoitusalan holdingyhtiöiden toiminta	
29.08.2025	Silmaril Innovations Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
29.08.2025	Kaastinen Yrjö Matias	Jyväskylä	02100 - Metsänhoito	
28.08.2025	As Oy Högkopplan länsi	Espoo		
28.08.2025	As Oy Högkopplan Itä	Espoo		
28.08.2025	TanssiSirkus ry	Espoo		
28.08.2025	As Oy Högkopplan etelä	Espoo		
28.08.2025	Golden Andalucia International Consulting Company OY	Espoo		
28.08.2025	Kiinteistö Oy Sepänrinne konkurssipesä	Kemijärvi	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
28.08.2025	WCH AB		25990 - Muiden metallituotteiden valmistus	
28.08.2025	MB Doverus		31090 - Muiden huonekalujen valmistus	
28.08.2025	Ebbo daghems föräldraförening rf	Porvoo		
28.08.2025	Sydänkollektiivi ry	Helsinki		
28.08.2025	Brahea Boxing Club ry	Lieksa		
28.08.2025	Chaudhary Arjun	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Syed Khawaja Razeeuddin Quadree	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Mohammadi Hassan	Helsinki	82191 - Sihteeri- ja muu toimistopalvelu	
28.08.2025	Thapa Sabin	Hyvinkää	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Islam Md Saiful	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Mwaura Julia Nduta	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Karabanovych Vasyl	Vantaa	41200 - Asuin- ja muiden rakennusten rakentaminen	
28.08.2025	Korolainen Hugo Lenni Valtteri	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Koivisto Esa Veli	Suomussalmi	02100 - Metsänhoito	
28.08.2025	Odari Prakash	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Islam Md Saiful	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Tarkkonen Eila Sinikka	Kitee	02100 - Metsänhoito	
28.08.2025	Ahmavuori Weera Sofia Aleksiina	Vantaa	73111 - Mainostoimistot	
28.08.2025	Åkerholm Jan-Ola	Mustasaari	02100 - Metsänhoito	
28.08.2025	Fazeel Aaisha	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Ikpesu Okeoghene Israel	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Allaberganov Khudoyshukur	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Gustafsson Noel Henrik	Helsinki	47990 - Muu vähittäiskauppa muualla kuin myymälöissä	
28.08.2025	Rantanen Emma Kaarina	Raisio	73119 - Muu mainospalvelu	
28.08.2025	Mohammed Aftab Ahmed	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	Shah Shohel Jamal	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
28.08.2025	OÜ DREAMGARAGE		68209 - Muiden kiinteistöjen vuokraus ja hallinta	
28.08.2025	Kuorevesi-järven vesienhoitoyhdistys ry	Jämsä		
28.08.2025	Pohjanmaan Special Forces ry	Laihia		
28.08.2025	Aktsiaselts Pakendikeskus		46901 - Yleistukkukauppa	
28.08.2025	Valiosauna Ry	Rovaniemi		
